Source,Destination,Distance_km
Austria,Austria,0.0
Austria,Belgium,914.8
Austria,Bulgaria,817.36
Austria,Croatia,267.76
Austria,Cyprus,2013.8
Austria,Czechia,250.87
Austria,Denmark,870.07
Austria,Estonia,1361.88
Austria,Finland,1439.3
Austria,France,1033.49
Austria,Germany,523.54
Austria,Greece,1282.73
Austria,Hungary,214.04
Austria,Ireland,1682.34
Austria,Italy,764.17
Austria,Latvia,1101.9
Austria,Lithuania,947.17
Austria,Luxembourg,763.95
Austria,Malta,1377.17
Austria,Netherlands (Kingdom of the),935.45
Austria,Poland,555.52
Austria,Portugal,2298.46
Austria,Romania,856.42
Austria,Slovakia,54.82
Austria,Slovenia,277.81
Austria,Spain,1809.56
Austria,Sweden,1241.51
Belgium,Austria,914.8
Belgium,Belgium,0.0
Belgium,Bulgaria,1698.01
Belgium,Croatia,1024.18
Belgium,Cyprus,2902.17
Belgium,Czechia,718.54
Belgium,Denmark,764.94
Belgium,Estonia,1599.42
Belgium,Finland,1647.63
Belgium,France,263.98
Belgium,Germany,650.65
Belgium,Greece,2089.31
Belgium,Hungary,1128.67
Belgium,Ireland,775.39
Belgium,Italy,1173.24
Belgium,Latvia,1453.79
Belgium,Lithuania,1464.86
Belgium,Luxembourg,187.09
Belgium,Malta,1850.28
Belgium,Netherlands (Kingdom of the),172.97
Belgium,Poland,1159.77
Belgium,Portugal,1712.56
Belgium,Romania,1770.78
Belgium,Slovakia,967.47
Belgium,Slovenia,917.85
Belgium,Spain,1316.6
Belgium,Sweden,1280.02
Bulgaria,Austria,817.36
Bulgaria,Belgium,1698.01
Bulgaria,Bulgaria,0.0
Bulgaria,Croatia,679.2
Bulgaria,Cyprus,1204.49
Bulgaria,Czechia,1064.94
Bulgaria,Denmark,1636.84
Bulgaria,Estonia,1863.9
Bulgaria,Finland,1945.9
Bulgaria,France,1757.24
Bulgaria,Germany,1318.55
Bulgaria,Greece,525.29
Bulgaria,Hungary,630.52
Bulgaria,Ireland,2473.4
Bulgaria,Italy,894.07
Bulgaria,Latvia,1585.71
Bulgaria,Lithuania,1340.76
Bulgaria,Luxembourg,1525.89
Bulgaria,Malta,1069.3
Bulgaria,Netherlands (Kingdom of the),1743.07
Bulgaria,Poland,1073.89
Bulgaria,Portugal,2754.19
Bulgaria,Romania,295.2
Bulgaria,Slovakia,775.72
Bulgaria,Slovenia,793.38
Bulgaria,Spain,2253.25
Bulgaria,Sweden,1884.08
Croatia,Austria,267.76
Croatia,Belgium,1024.18
Croatia,Bulgaria,679.2
Croatia,Croatia,0.0
Croatia,Cyprus,1880.07
Croatia,Czechia,487.48
Croatia,Denmark,1122.15
Croatia,Estonia,1623.03
Croatia,Finland,1701.43
Croatia,France,1079.58
Croatia,Germany,768.61
Croatia,Greece,1080.17
Croatia,Hungary,299.12
Croatia,Ireland,1798.74
Croatia,Italy,516.92
Croatia,Latvia,1358.19
Croatia,Lithuania,1185.35
Croatia,Luxembourg,848.32
Croatia,Malta,1109.42
Croatia,Netherlands (Kingdom of the),1084.83
Croatia,Poland,801.6
Croatia,Portugal,2201.05
Croatia,Romania,808.35
Croatia,Slovakia,273.17
Croatia,Slovenia,117.27
Croatia,Spain,1701.43
Croatia,Sweden,1509.14
Cyprus,Austria,2013.8
Cyprus,Belgium,2902.17
Cyprus,Bulgaria,1204.49
Cyprus,Croatia,1880.07
Cyprus,Cyprus,0.0
