Exporter,Importer,Value
Belgium,Austria,606.37
Austria,Belgium,69.97
Bulgaria,Austria,129.63
Austria,Bulgaria,10491.92
Croatia,Austria,8759.89
Austria,Croatia,1885.15
Czechia,Austria,189128.33
Austria,Czechia,1790.9
Austria,Denmark,25.31
Austria,Estonia,0.42
Austria,Finland,3.01
France,Austria,6.78
Austria,France,2081.27
Germany,Austria,155087.27
Austria,Germany,110896.09
Austria,Greece,5.45
Hungary,Austria,604814.96
Austria,Hungary,15343.82
Italy,Austria,532.63
Austria,Italy,586152.04
Austria,Latvia,113.1
Lithuania,Austria,100.58
Austria,Lithuania,83.28
Austria,Luxembourg,119.47
Austria,Malta,0.02
Netherlands (Kingdom of the),Austria,18.85
Austria,Netherlands (Kingdom of the),4987.89
Poland,Austria,668.39
Austria,Poland,2804.16
Romania,Austria,15914.72
Austria,Romania,5384.83
Slovakia,Austria,193500.63
Austria,Slovakia,1813.95
Slovenia,Austria,1257.83
Austria,Slovenia,23532.83
Austria,Spain,5.58
Austria,Sweden,254.97
Austria,Belgium,2922.83
Belgium,Austria,425.52
Czechia,Belgium,2063.86
Denmark,Belgium,30.16
Belgium,Denmark,0.41
Estonia,Belgium,8668.87
Belgium,Finland,0.32
France,Belgium,2525849.88
Belgium,France,33279.08
Germany,Belgium,761467.86
Belgium,Germany,14519.33
Greece,Belgium,355.34
Hungary,Belgium,1060.9
Ireland,Belgium,31.74
Belgium,Ireland,8016.53
Italy,Belgium,12984.23
Belgium,Italy,3591.18
Latvia,Belgium,7871.76
Lithuania,Belgium,45090.49
Luxembourg,Belgium,17283.66
Belgium,Luxembourg,7371.36
Netherlands (Kingdom of the),Belgium,224367.37
Belgium,Netherlands (Kingdom of the),166144.49
Poland,Belgium,104487.63
Belgium,Poland,517.42
Portugal,Belgium,12.08
Belgium,Portugal,94.31
Romania,Belgium,5584.23
Slovakia,Belgium,6815.22
Spain,Belgium,10596.43
Belgium,Spain,116.61
Sweden,Belgium,8548.54
Belgium,Sweden,0.08
Austria,Bulgaria,9443.93
Bulgaria,Austria,0.08
Bulgaria,Belgium,0.08
Bulgaria,Croatia,75.42
Bulgaria,Denmark,0.02
France,Bulgaria,351.0
Bulgaria,France,0.01
Germany,Bulgaria,47.07
Bulgaria,Germany,33003.09
Greece,Bulgaria,259.19
Bulgaria,Greece,421410.22
Hungary,Bulgaria,3337.91
Bulgaria,Hungary,17.0
Bulgaria,Ireland,12000.5
Italy,Bulgaria,38.8
Bulgaria,Italy,97600.23
Bulgaria,Lithuania,0.03
Netherlands (Kingdom of the),Bulgaria,11.0
Bulgaria,Netherlands (Kingdom of the),28500.04
Poland,Bulgaria,23.0
Romania,Bulgaria,82033.28
Bulgaria,Romania,383107.71
Slovakia,Bulgaria,27.0
Spain,Bulgaria,48.38
Bulgaria,Spain,464518.02
Austria,Croatia,9067.81
Croatia,Austria,15270.89
Croatia,Bulgaria,20.56
Czechia,Croatia,3.99
France,Croatia,77.51
Germany,Croatia,2.51
Croatia,Germany,3079.48
Croatia,Greece,5.0
Hungary,Croatia,84565.74
Croatia,Hungary,4612.77
Italy,Croatia,2394.11
Croatia,Italy,388794.63
Croatia,Netherlands (Kingdom of the),0.0
Poland,Croatia,0.21
Croatia,Poland,269.9
Croatia,Portugal,0.4
Romania,Croatia,2176.66
Croatia,Romania,105.96
Slovakia,Croatia,46.72
Croatia,Slovakia,19.0
Slovenia,Croatia,2078.32
Croatia,Slovenia,27686.76
Spain,Croatia,0.0
Croatia,Spain,20450.0
Austria,Czechia,3025.41
Czechia,Austria,284458.02
Belgium,Czechia,1320.38
Czechia,Belgium,190.46
Croatia,Czechia,0.4
Czechia,Croatia,4.02
Czechia,Denmark,152.11
Czechia,Estonia,27.8
France,Czechia,337.35
Czechia,France,433.65
Germany,Czechia,2170.26
Czechia,Germany,2552582.99
Czechia,Greece,6.0
Hungary,Czechia,23734.4
Czechia,Hungary,2784.7
Italy,Czechia,49.24
Czechia,Italy,22115.24
Czechia,Lithuania,209.6
Czechia,Luxembourg,600.22
Netherlands (Kingdom of the),Czechia,7.5
Czechia,Netherlands (Kingdom of the),43191.16
Poland,Czechia,6103.78
Czechia,Poland,219381.14
Czechia,Portugal,169.32
Romania,Czechia,2442.32
Czechia,Romania,1827.97
Slovakia,Czechia,72797.3
Czechia,Slovakia,22161.17
Czechia,Slovenia,456.56
Czechia,Spain,0.08
Austria,Denmark,35.89
Denmark,Austria,1.16
Belgium,Denmark,0.09
Denmark,Belgium,7781.4
Bulgaria,Denmark,0.07
Denmark,Bulgaria,0.25
Denmark,Croatia,1.7
Denmark,Czechia,0.42
Estonia,Denmark,24823.84
Denmark,Estonia,0.83
Denmark,Finland,7.0
France,Denmark,1705.1
Denmark,France,1.1
Germany,Denmark,119036.07
Denmark,Germany,13222.06
Denmark,Greece,1.73
Denmark,Hungary,7.57
Denmark,Ireland,83721.86
Italy,Denmark,0.03
Denmark,Italy,5499.67
Latvia,Denmark,3452.82
Denmark,Latvia,605.42
Lithuania,Denmark,19137.44
Denmark,Lithuania,2.89
Denmark,Luxembourg,0.03
Netherlands (Kingdom of the),Denmark,207.34
Denmark,Netherlands (Kingdom of the),3746.55
Poland,Denmark,22983.27
Denmark,Poland,3845.15
Denmark,Portugal,0.44
Romania,Denmark,4157.54
Denmark,Romania,7.37
Denmark,Slovakia,0.4
Denmark,Slovenia,0.93
Spain,Denmark,42.43
Denmark,Spain,83254.95
Sweden,Denmark,77891.34
Denmark,Sweden,8683.27
Estonia,Belgium,7699.88
Czechia,Estonia,12.9
Denmark,Estonia,51.0
Estonia,Denmark,21736.68
Finland,Estonia,2.0
Estonia,Finland,11118.57
France,Estonia,4.57
Germany,Estonia,33.98
Estonia,Germany,5692.96
Italy,Estonia,0.05
Latvia,Estonia,14041.01
Estonia,Latvia,8872.73
Lithuania,Estonia,5126.93
Estonia,Lithuania,2494.42
Netherlands (Kingdom of the),Estonia,1.09
Estonia,Netherlands (Kingdom of the),21490.9
Poland,Estonia,8.03
Estonia,Poland,50.56
Estonia,Portugal,1078.0
Estonia,Spain,105945.48
Sweden,Estonia,24.3
Estonia,Sweden,3844.3
Belgium,Finland,0.1
Denmark,Finland,40.21
Finland,Denmark,3500.0
Estonia,Finland,176.6
France,Finland,4399.79
Finland,France,5380.01
Germany,Finland,5.49
Finland,Germany,15078.84
Italy,Finland,134.68
Lithuania,Finland,5.0
Netherlands (Kingdom of the),Finland,8.01
Finland,Spain,18732.92
Sweden,Finland,167.33
Finland,Sweden,273.0
Austria,France,1584.79
France,Austria,124.21
Belgium,France,22805.5
France,Belgium,2544408.95
France,Bulgaria,432.45
Croatia,France,50.54
France,Croatia,42.0
Czechia,France,139.0
France,Czechia,363.44
Denmark,France,56.08
France,Denmark,3232.25
France,Estonia,265.79
Finland,France,3935.67
France,Finland,4403.53
Germany,France,77702.61
France,Germany,521245.08
Greece,France,4.67
France,Greece,24678.0
Hungary,France,568.53
France,Hungary,397.13
Ireland,France,0.79
France,Ireland,143169.3
Italy,France,9505.84
France,Italy,698455.01
France,Latvia,41.6
Lithuania,France,4502.96
France,Lithuania,29.41
Luxembourg,France,1128.01
France,Luxembourg,72422.8
France,Malta,1865.09
Netherlands (Kingdom of the),France,6024.05
France,Netherlands (Kingdom of the),1438832.2
Poland,France,1329.38
France,Poland,21262.29
Portugal,France,140.11
France,Portugal,571689.92
Romania,France,39457.58
France,Romania,4878.08
France,Slovakia,147.66
France,Slovenia,2.29
Spain,France,12037.32
France,Spain,1007904.92
Sweden,France,4301.0
France,Sweden,15120.34
Austria,Germany,126046.16
Germany,Austria,13958.0
Belgium,Germany,15352.19
Germany,Belgium,635055.07
Bulgaria,Germany,1499.65
Germany,Bulgaria,44.3
Croatia,Germany,2485.94
Germany,Croatia,7.91
Czechia,Germany,2585771.55
Germany,Czechia,1078.08
Denmark,Germany,11864.44
Germany,Denmark,137743.76
Estonia,Germany,5445.27
Germany,Estonia,70.27
Finland,Germany,10253.88
Germany,Finland,124.69
France,Germany,474008.17
Germany,France,137539.78
Greece,Germany,71.46
Germany,Greece,6055.89
Hungary,Germany,604986.86
Germany,Hungary,1051.29
Germany,Ireland,61882.32
Italy,Germany,4608.94
Germany,Italy,129961.82
Latvia,Germany,67695.75
Germany,Latvia,576.93
Lithuania,Germany,109898.74
Germany,Lithuania,3647.42
Luxembourg,Germany,9267.07
Germany,Luxembourg,20618.76
Netherlands (Kingdom of the),Germany,79028.41
Germany,Netherlands (Kingdom of the),1741075.43
Poland,Germany,1460019.11
Germany,Poland,15460.87
Germany,Portugal,68920.66
Romania,Germany,78605.53
Germany,Romania,240.77
Slovakia,Germany,317919.58
