Exporter,Importer,Value
Canada,Albania,4023.1
Croatia,Albania,523.16
Greece,Albania,744.76
Italy,Albania,1146.39
Russian Federation,Albania,117923.7
Serbia,Albania,46401.61
Ukraine,Albania,29335.61
Austria,Belarus,84.85
Belgium,Austria,606.37
Austria,Belgium,69.97
Bulgaria,Austria,129.63
Austria,Bulgaria,10491.92
Austria,Canada,0.03
Croatia,Austria,8759.89
Austria,Croatia,1885.15
Czechia,Austria,189128.33
Austria,Czechia,1790.9
Austria,Denmark,25.31
Austria,Estonia,0.42
Austria,Finland,3.01
France,Austria,6.78
Austria,France,2081.27
Germany,Austria,155087.27
Austria,Germany,110896.09
Austria,Greece,5.45
Hungary,Austria,604814.96
Austria,Hungary,15343.82
Italy,Austria,532.63
Austria,Italy,586152.04
Austria,Latvia,113.1
Lithuania,Austria,100.58
Austria,Lithuania,83.28
Austria,Luxembourg,119.47
Austria,Malta,0.02
Netherlands (Kingdom of the),Austria,18.85
Austria,Netherlands (Kingdom of the),4987.89
Poland,Austria,668.39
Austria,Poland,2804.16
Austria,Republic of Moldova,36.33
Romania,Austria,15914.72
Austria,Romania,5384.83
Austria,Russian Federation,0.03
Serbia,Austria,25.84
Austria,Serbia,39.85
Slovakia,Austria,193500.63
Austria,Slovakia,1813.95
Slovenia,Austria,1257.83
Austria,Slovenia,23532.83
Austria,Spain,5.58
Austria,Sweden,254.97
Switzerland,Austria,316.72
Austria,Switzerland,50805.7
Ukraine,Austria,1766.65
Austria,Ukraine,42.28
United Kingdom of Great Britain and Northern Ireland,Austria,0.1
Austria,United Kingdom of Great Britain and Northern Ireland,0.03
Austria,United States of America,0.01
Austria,Belgium,2922.83
Belgium,Austria,425.52
Canada,Belgium,29224.77
Belgium,Canada,0.0
Czechia,Belgium,2063.86
Denmark,Belgium,30.16
Belgium,Denmark,0.41
Estonia,Belgium,8668.87
Belgium,Finland,0.32
France,Belgium,2525849.88
Belgium,France,33279.08
Germany,Belgium,761467.86
Belgium,Germany,14519.33
Greece,Belgium,355.34
Hungary,Belgium,1060.9
Iceland,Belgium,0.0
Belgium,Iceland,137.66
Ireland,Belgium,31.74
Belgium,Ireland,8016.53
Italy,Belgium,12984.23
Belgium,Italy,3591.18
Latvia,Belgium,7871.76
Lithuania,Belgium,45090.49
Luxembourg,Belgium,17283.66
Belgium,Luxembourg,7371.36
Netherlands (Kingdom of the),Belgium,224367.37
Belgium,Netherlands (Kingdom of the),166144.49
Belgium,Norway,25.54
Poland,Belgium,104487.63
Belgium,Poland,517.42
Portugal,Belgium,12.08
Belgium,Portugal,94.31
Romania,Belgium,5584.23
Slovakia,Belgium,6815.22
Spain,Belgium,10596.43
Belgium,Spain,116.61
Sweden,Belgium,8548.54
Belgium,Sweden,0.08
Switzerland,Belgium,0.76
Belgium,Switzerland,1841.9
Ukraine,Belgium,0.26
United Kingdom of Great Britain and Northern Ireland,Belgium,826.58
Belgium,United Kingdom of Great Britain and Northern Ireland,6.22
United States of America,Belgium,11864.97
Belgium,United States of America,0.27
Bulgaria,Bosnia and Herzegovina,0.0
